Team,CF%,CF/60,CA/60,GF%,GF/60,GA/60,xGF%,xGF/60,xGA/60,Sh%,Sv%,PDO
ANA,49.67,54.19,54.92,53.11,2.25,1.98,52.02,2.37,2.19,7.77,92.98,100.75
ARI,45.06,51.43,62.69,44,1.99,2.53,41.97,1.94,2.68,7.28,92.44,99.72
BOS,54.68,60.2,49.89,49.31,2.22,2.28,55.22,2.43,1.97,6.86,91.31,98.17
BUF,47.24,51.92,57.99,44.84,1.88,2.31,47.57,2.06,2.27,6.41,92.92,99.33
CAR,51.39,56.44,53.39,46.2,2.17,2.52,50.98,2.48,2.39,7.43,91.17,98.6
CBJ,50.3,55.84,55.16,56,2.52,1.98,50,2.47,2.47,8.18,93.26,101.44
CGY,50.55,53.8,52.64,49.29,2.16,2.22,48.89,2.12,2.22,7.59,92,99.59
CHI,50.45,55.64,54.65,54.67,2.43,2.01,49.08,2.25,2.34,8.17,93.31,101.48
COL,48.39,52.11,55.58,36.84,1.74,2.98,44.94,1.85,2.27,6.33,90.6,96.94
DAL,50.08,58.08,57.9,49.01,2.23,2.32,49.63,2.45,2.49,7.52,91.92,99.44
DET,48.22,50.06,53.76,47.06,2.17,2.44,47.99,2.14,2.31,7.88,91.72,99.6
EDM,49.9,54.7,54.91,54.28,2.48,2.09,50.99,2.51,2.41,8.29,92.74,101.03
FLA,50.5,54.08,53.01,44.67,2,2.48,47.86,2.08,2.27,6.56,92.1,98.66
L.A,54.96,59.91,49.09,48.65,1.9,2.01,54.21,2.37,2,6.21,92.06,98.27
MIN,49.35,53.98,55.4,55.69,2.75,2.19,54.6,2.3,1.91,9.15,92.57,101.72
MTL,52.54,58.77,53.09,54.42,2.3,1.92,53,2.38,2.11,7.55,93.25,100.79
N.J,47.83,48.89,53.33,43.35,1.74,2.27,47.81,2.08,2.27,6.36,92.47,98.83
NSH,51.42,57.8,54.61,53,2.42,2.15,51.7,2.27,2.12,7.84,92.65,100.49
NYI,47.75,54.92,60.1,50.86,2.63,2.54,49.05,2.48,2.57,8.87,91.77,100.64
NYR,47.9,52.63,57.24,52.19,2.51,2.3,48.88,2.36,2.47,8.85,92.32,101.17
OTT,48.54,54.84,58.15,48.74,2.07,2.17,49.11,2.18,2.25,7.03,92.58,99.6
PHI,51.09,57.6,55.14,45.36,1.95,2.35,49.34,2.18,2.24,6.65,91.68,98.32
PIT,50.14,57.82,57.49,55.19,2.82,2.29,52.44,2.72,2.46,8.6,92.61,101.21
S.J,51.3,58.11,55.15,53,2.27,2.01,52.51,2.47,2.23,7.85,92.45,100.3
STL,50.18,51.94,51.57,52.92,2.34,2.08,50.58,2.02,1.97,8.4,92.38,100.78
T.B,51.27,55.24,52.51,49.12,2.15,2.23,50.48,2.12,2.08,7.38,92.4,99.78
TOR,50.38,59.52,58.61,50.91,2.54,2.45,50.88,2.68,2.59,8.3,92.25,100.55
VAN,47.96,50.42,54.72,44.76,1.9,2.34,45.71,2.01,2.38,7.01,92.42,99.43
WPG,49.24,52.33,53.93,48.91,2.43,2.54,50.65,2.29,2.23,8.51,91.56,100.07
WSH,51.79,56.09,52.22,61.38,2.73,1.72,51.43,2.29,2.16,9.18,93.73,102.91